observableId	simulationConditionId	measurement	time	datasetId
observable_predator	condition1	4.6280594	0.0	condition1_observable_predator
observable_prey	condition1	0.44249296	0.0	condition1_observable_prey
observable_predator	condition1	4.578708474077423	0.1	condition1_observable_predator
observable_prey	condition1	0.3327668289231839	0.1	condition1_observable_prey
observable_predator	condition1	4.453489407333155	0.2	condition1_observable_predator
observable_prey	condition1	0.25227728945952504	0.2	condition1_observable_prey
observable_predator	condition1	4.278320799700643	0.30000000000000004	condition1_observable_predator
observable_prey	condition1	0.19389298268137328	0.30000000000000004	condition1_observable_prey
observable_predator	condition1	4.073296603394433	0.4	condition1_observable_predator
observable_prey	condition1	0.151611448382368	0.4	condition1_observable_prey
observable_predator	condition1	3.8529133178788917	0.5	condition1_observable_predator
observable_prey	condition1	0.12085228297387211	0.5	condition1_observable_prey
observable_predator	condition1	3.627158469748886	0.6000000000000001	condition1_observable_predator
observable_prey	condition1	0.09829314802624474	0.6000000000000001	condition1_observable_prey
observable_predator	condition1	3.4026846585385866	0.7000000000000001	condition1_observable_predator
observable_prey	condition1	0.08158454289167134	0.7000000000000001	condition1_observable_prey
observable_predator	condition1	3.1837871005946137	0.8	condition1_observable_predator
observable_prey	condition1	0.06908255575535736	0.8	condition1_observable_prey
observable_predator	condition1	2.973135961129424	0.9	condition1_observable_predator
observable_prey	condition1	0.05963899655306604	0.9	condition1_observable_prey
observable_predator	condition1	2.772296914165501	1.0	condition1_observable_predator
observable_prey	condition1	0.05244907715848459	1.0	condition1_observable_prey
observable_predator	condition1	2.5820915978059755	1.1	condition1_observable_predator
observable_prey	condition1	0.046945003271046955	1.1	condition1_observable_prey
observable_predator	condition1	2.4028441232107918	1.2000000000000002	condition1_observable_predator
observable_prey	condition1	0.042722990808900074	1.2000000000000002	condition1_observable_prey
observable_predator	condition1	2.2345490449177263	1.3	condition1_observable_predator
observable_prey	condition1	0.03949349758869817	1.3	condition1_observable_prey
observable_predator	condition1	2.076985646184278	1.4000000000000001	condition1_observable_predator
observable_prey	condition1	0.03704733003939887	1.4000000000000001	condition1_observable_prey
observable_predator	condition1	1.9297959501820348	1.5	condition1_observable_predator
observable_prey	condition1	0.0352324430803882	1.5	condition1_observable_prey
observable_predator	condition1	1.7925379812091065	1.6	condition1_observable_predator
observable_prey	condition1	0.033937988048268496	1.6	condition1_observable_prey
